Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90
1,de  Bayern Munich,2,2,0,0,8,2,6,6,6.7,1.1,5.6,2.79
2,es  Real Madrid,2,2,0,0,7,1,6,6,7.1,1.2,5.9,2.96
3,fr  Paris S-G,2,2,0,0,6,1,5,6,5.1,1.8,3.3,1.64
4,it  Inter,2,2,0,0,5,0,5,6,5.2,1.4,3.8,1.91
5,eng  Arsenal,2,2,0,0,4,0,4,6,4.2,0.8,3.3,1.66
6,az  Qarabağ,2,2,0,0,5,2,3,6,3.3,2.4,1,0.49
7,de  Dortmund,2,1,1,0,8,5,3,4,2.7,2.9,-0.2,-0.09
8,eng  Manchester City,2,1,1,0,4,2,2,4,3.6,1.6,2.1,1.03
9,eng  Tottenham,2,1,1,0,3,2,1,4,1.9,3,-1,-0.52
10,es  Atlético Madrid,2,1,0,1,7,4,3,3,4.8,3.2,1.6,0.81
11,eng  Newcastle Utd,2,1,0,1,5,2,3,3,3.9,2,2,0.99
12,fr  Marseille,2,1,0,1,5,2,3,3,1.9,4.4,-2.5,-1.27
13,pt  Sporting CP,2,1,0,1,5,3,2,3,5,1.5,3.5,1.74
14,be  Club Brugge,2,1,0,1,5,3,2,3,3.9,4.1,-0.2,-0.08
15,de  Eint Frankfurt,2,1,0,1,6,6,0,3,1.7,5.4,-3.7,-1.83
16,es  Barcelona,2,1,0,1,3,3,0,3,2.4,2.9,-0.5,-0.25
17,eng  Liverpool,2,1,0,1,3,3,0,3,4.4,2.2,2.2,1.08
18,eng  Chelsea,2,1,0,1,2,3,-1,3,1.4,3,-1.6,-0.81
19,it  Napoli,2,1,0,1,2,3,-1,3,1,3.4,-2.3,-1.15
20,be  Union SG,2,1,0,1,3,5,-2,3,3.9,4.9,-1,-0.49
21,it  Atalanta,2,1,0,1,2,5,-3,3,3.1,4.3,-1.2,-0.61
22,tr  Galatasaray,2,1,0,1,2,5,-3,3,2.8,2.9,-0.1,-0.06
23,it  Juventus,2,0,2,0,6,6,0,2,3.3,3.2,0.1,0.05
24,no  Bodø/Glimt,2,0,2,0,4,4,0,2,5.3,5.3,-0.1,-0.03
25,de  Leverkusen,2,0,2,0,3,3,0,2,2.9,2.4,0.6,0.29
26,es  Villarreal,2,0,1,1,2,3,-1,1,2.2,1.9,0.2,0.12
27,nl  PSV Eindhoven,2,0,1,1,2,4,-2,1,2.6,4.8,-2.1,-1.07
28,dk  FC Copenhagen,2,0,1,1,2,4,-2,1,2.9,3,-0.2,-0.08
29,gr  Olympiacos,2,0,1,1,0,2,-2,1,2,3.2,-1.2,-0.58
30,fr  Monaco,2,0,1,1,3,6,-3,1,2.9,4.5,-1.6,-0.81
31,cz  Slavia Prague,2,0,1,1,2,5,-3,1,4.1,6.8,-2.7,-1.36
32,cy  Pafos FC,2,0,1,1,1,5,-4,1,0.7,6,-5.4,-2.68
33,pt  Benfica,2,0,0,2,2,4,-2,0,2.2,2.2,0,0.02
34,es  Athletic Club,2,0,0,2,1,6,-5,0,1.3,2.4,-1.1,-0.57
35,nl  Ajax,2,0,0,2,0,6,-6,0,2,2.3,-0.3,-0.15
36,kz  Qaırat Almaty,2,0,0,2,1,9,-8,0,1.1,7.2,-6.1,-3.06